HighestPrice,LowestPrice,FinalPricePercent,FinalPriceDiff,FinalPrice,LastTransactionPercent,LastTransactionDiff,LastTransaction,FirstPrice,YesterdayPrice,Value,Volume,Count,DateJalaali,DayOfWeek,WeekOfYear
39064,36013,4.25,1582,38786,5,1860,39064,36013,37204,132737385715,3422318,1729,1399/2/1,2,6
38900,36865,-4.13,-1601,37204,-5,-1939,36866,38900,38805,211094156861,5673967,4110,1399/1/31,1,6
39071,38001,4.28,1594,38805,3.73,1389,38600,39066,37211,105006325758,2705989,2457,1399/1/30,0,6
37414,35500,4.43,1578,37211,5,1781,37414,35500,35633,105144432696,2825640,1468,1399/1/27,4,5
36555,35000,-2.77,-1014,35633,-1.77,-648,35999,36555,36647,76580800912,2149149,2315,1399/1/26,3,5
38208,34570,0.71,258,36647,1.05,383,36772,38208,36389,189595055964,5173601,2885,1399/1/25,2,5
36467,35000,4.77,1658,36389,5,1736,36467,35000,34731,151333962884,4158744,1622,1399/1/24,1,5
36500,34496,-4.35,-1580,34731,-4.43,-1608,34703,36500,36311,146523450303,4218862,2823,1399/1/23,0,5
36397,35000,4.75,1647,36311,5,1733,36397,35900,34664,184399302360,5078311,1876,1399/1/20,4,4
35604,32300,2.23,755,34664,5,1694,35603,35200,33909,164392656079,4742509,3254,1399/1/19,3,4
35429,32400,5.5,1769,33909,7.13,2290,34430,33747,32140,124215903773,3663192,1810,1399/1/18,2,4
32176,31501,4.88,1496,32140,5,1532,32176,31501,30644,130432242753,4058276,1223,1399/1/16,0,4
31600,29250,0.92,278,30644,1.66,504,30870,30990,30366,57834109860,1887284,1868,1399/1/11,2,3
30625,29200,4.11,1199,30366,4,1166,30333,30625,29167,119710757243,3942218,1710,1399/1/10,1,3
29245,29245,4.72,1314,29167,5,1392,29245,29245,27853,49540181895,1693971,445,1399/1/9,0,3
28161,26900,3.85,1033,27853,5,1340,28160,26900,26820,57096445802,2049940,1195,1399/1/6,4,2
27897,25941,-0.04,-12,26820,-0.13,-34,26798,27897,26832,21249973612,792786,912,1399/1/5,3,2
27514,25500,2.4,628,26832,5,1310,27514,25500,26204,45677727623,1702339,1268,1398/12/28,4,1
27800,25942,-4.04,-1103,26204,-5,-1365,25942,27310,27307,43990955545,1679585,1402,1398/12/27,3,1
29000,26913,-3.61,-1022,27307,-2.93,-829,27500,28560,28329,59360484863,2173785,1607,1398/12/26,2,1
27435,27435,-1.9,-549,28329,-5,-1443,27435,27435,28878,17718428355,645833,244,1398/12/25,1,1
29190,27961,-1.88,-554,28878,-5,-1471,27961,27961,29432,18060068589,645615,421,1398/12/24,0,1
30249,29367,-4.79,-1480,29432,-5,-1545,29367,29367,30912,94560278743,3212785,2035,1398/12/21,4,52
30254,30254,-2.93,-934,30912,-5,-1592,30254,30254,31846,26574780806,878389,218,1398/12/20,3,52
30489,30489,-0.77,-247,31846,-5,-1604,30489,30489,32093,7025793693,230437,213,1398/12/19,2,52
31731,31713,-3.86,-1289,32093,-5,-1669,31713,31713,33382,36680020833,1156619,703,1398/12/17,0,52
34799,32260,0.39,130,33382,-1.66,-552,32700,34799,33252,145259951257,4351388,3054,1398/12/14,4,51
33252,33249,5,1583,33252,5,1583,33252,33252,31669,214819380921,6460346,1592,1398/12/13,3,51
31670,31500,5,1507,31669,5,1508,31670,31670,30162,226271004038,7144838,1395,1398/12/12,2,51
30612,29430,3.45,1007,30162,5,1457,30612,30200,29155,57003466788,1889941,1305,1398/12/11,1,51
30500,28830,-3.93,-1192,29155,-3.45,-1047,29300,29300,30347,47863679515,1641713,1313,1398/12/10,0,51
31997,29062,-0.67,-205,30386,-2.91,-891,29700,31997,30591,68279918842,2247068,1826,1398/12/7,4,50
30752,29600,4.45,1303,30591,5,1464,30752,30384,29288,50753113919,1659105,1300,1398/12/6,3,50
29920,28499,2.77,789,29288,4.99,1421,29920,28553,28499,82325264787,2810866,1700,1398/12/5,2,50
28981,28070,3.25,898,28499,2.71,749,28350,28975,27601,64891694947,2276993,1584,1398/12/4,1,50
28000,26958,-2.73,-775,27601,-2.24,-636,27740,26958,28376,43002957323,1558025,1353,1398/12/3,0,50
29200,27517,0.32,90,28376,-0.59,-166,28120,28280,28286,53629689800,1889962,1569,1398/11/30,4,49
29250,28014,-4.08,-1202,28286,-4.19,-1237,28251,28060,29488,46665672058,1649793,1285,1398/11/29,3,49
31275,29267,-4.28,-1319,29488,-5,-1540,29267,30807,30807,67469690405,2288043,1715,1398/11/28,2,49
30830,30026,4.92,1445,30807,5,1468,30830,30026,29362,84692005955,2749134,1353,1398/11/27,1,49
29763,27841,3.58,1016,29362,2.84,804,29150,29763,28346,75962756449,2587071,1614,1398/11/26,0,49
28250,26839,-3.89,-1100,27151,-2.3,-651,27600,28250,28251,58093587748,2139662,1241,1398/11/21,2,48
29000,27000,-0.1,-29,28251,1.09,308,28588,29000,28280,69532582299,2461250,1757,1398/11/20,1,48
28322,27800,4.84,1306,28280,5,1348,28322,28322,26974,102631516929,3629147,1722,1398/11/19,0,48
27238,25507,3.98,1033,26974,5,1297,27238,26000,25941,53779143060,1993713,1409,1398/11/16,4,47
26999,25682,-4.04,-1092,25941,-4.56,-1232,25801,26999,27033,42953512613,1655792,1360,1398/11/15,3,47
27206,26000,4.33,1122,27033,2.98,773,26684,26000,25911,54524664132,2016981,1267,1398/11/14,2,47
26499,25350,-1.83,-484,25911,-0.59,-157,26238,26499,26395,37460502739,1445754,1287,1398/11/13,1,47
27370,25570,-0.85,-227,26395,-2.34,-622,26000,27000,26622,35783660052,1355696,1221,1398/11/12,0,47
27253,25800,2.57,666,26622,3.83,994,26950,26295,25956,54915682732,2062783,1451,1398/11/8,3,46
26600,25510,-1.49,-393,25956,-2.78,-733,25616,26500,26349,29394976094,1132495,1028,1398/11/7,2,46
27995,25715,-2.66,-719,26349,-2.61,-706,26362,27995,27068,57783814552,2193053,2168,1398/11/6,1,46
27138,26500,4.73,1222,27068,5,1292,27138,27000,25846,49249980465,1819491,1526,1398/11/5,0,46
25991,24140,4.41,1092,25846,5,1237,25991,24140,24754,95736378649,3704072,1520,1398/11/2,4,45
25165,24400,1.9,461,24754,1.08,263,24556,24769,24293,31688803103,1280144,864,1398/11/1,3,45
24992,23800,-2.8,-700,24293,-0.78,-194,24799,24992,24993,42021526348,1729782,1242,1398/10/30,2,45
26300,24500,4.39,1051,24993,2.33,558,24500,25139,23942,31927848462,1277451,918,1398/10/29,1,45
24950,23500,-2.84,-701,23942,-3.74,-921,23722,24950,24643,36262696021,1514635,1099,1398/10/24,3,44
25020,23741,3.42,814,24643,4.7,1121,24950,24399,23829,40646284953,1649427,1065,1398/10/23,2,44
24217,23201,3.32,765,23829,4.75,1096,24160,24217,23064,86455414157,3628130,1723,1398/10/22,1,44
23064,23064,2,452,23064,2,452,23064,23064,22612,18024008592,781478,78,1398/10/21,0,44
22612,22612,-2,-461,22612,-2,-461,22612,22612,23073,7149462160,316180,61,1398/10/18,4,43
24000,23032,-4.83,-1171,23073,-5,-1212,23032,23032,24244,26469356077,1147189,470,1398/10/17,3,43
24244,24244,-5,-1275,24244,-5,-1275,24244,24244,25519,20254310384,835436,194,1398/10/15,1,43
25519,25519,-5,-1343,25519,-5,-1343,25519,25519,26862,12389755209,485511,68,1398/10/14,0,43
27648,26161,-0.84,-228,26862,-3.03,-820,26270,27250,27090,23738206844,883715,834,1398/10/11,4,42
28000,26904,-4.34,-1230,27090,-3.6,-1020,27300,28000,28320,59954086318,2213161,1499,1398/10/10,3,42
28999,27760,-0.76,-218,28320,-1.89,-538,28000,28999,28538,45523866476,1607486,1314,1398/10/9,2,42
28903,26200,3.67,1011,28538,5,1376,28903,27500,27527,102210832081,3581539,1519,1398/10/8,1,42
27953,26600,3.4,905,27527,2.43,648,27270,26600,26622,46302807337,1682098,968,1398/10/7,0,42
26964,25500,3.67,942,26622,5,1284,26964,26294,25680,78501806265,2948714,1241,1398/10/4,4,41
26288,25173,-3.08,-817,25680,-1.84,-487,26010,25320,26497,64137652073,2497547,1419,1398/10/3,3,41
27596,25915,-2.86,-781,26497,-5,-1363,25915,27596,27278,38650159496,1458685,1203,1398/10/2,2,41
27603,26303,3.76,989,27278,5,1314,27603,26613,26289,203015289953,7442456,1954,1398/10/1,1,41
26362,24852,4.71,1182,26289,5,1255,26362,25380,25107,97477898521,3707983,1078,1398/9/30,0,41
25798,24275,-0.94,-239,25107,0.25,64,25410,24997,25346,47045455472,1873818,1439,1398/9/27,4,40
26400,24602,0.5,127,25346,-0.88,-222,24997,26400,25219,59498274757,2347447,1567,1398/9/26,3,40
25329,24641,4.54,1096,25219,5,1206,25329,25000,24123,24544449628,973237,482,1398/9/25,2,40
24637,23451,2.81,659,24123,5,1173,24637,23800,23464,78740013580,3264151,1465,1398/9/24,1,40
23998,23024,-0.34,-79,23464,-1.29,-304,23239,23600,23543,55072354270,2347133,1668,1398/9/23,0,40
23897,23205,-1.73,-414,23543,-2.78,-667,23290,23205,23957,23796646098,1010773,882,1398/9/20,4,39
24742,22724,0.15,37,23957,-1.06,-253,23667,23990,23920,60281973979,2516214,1696,1398/9/19,3,39
24300,23201,-0.33,-79,23634,-0.31,-73,23640,23760,23713,42294160916,1789527,1422,1398/9/17,1,39
25100,23172,-2.78,-678,23713,-2.59,-631,23760,25100,24391,70461357231,2971457,2224,1398/9/16,0,39
24609,23812,4.07,953,24391,4.22,989,24427,24500,23438,94244334582,3863911,2356,1398/9/13,4,38
23530,22550,4.59,1028,23438,5,1120,23530,22997,22410,162572134688,6936301,2040,1398/9/12,3,38
22445,21550,4.83,1033,22410,5,1068,22445,22444,21377,207746984618,9270321,2165,1398/9/11,2,38
22220,20900,0.89,189,21377,4.29,909,22097,21000,21188,46311839541,2166413,1177,1398/9/10,1,38
21470,20010,3.62,740,21188,4.16,851,21299,20621,20448,29410398698,1388081,925,1398/9/9,0,38
20850,20010,-1.28,-266,20448,-0.85,-176,20538,20301,20714,21954330185,1073683,951,1398/9/6,4,37
21500,20589,-4.42,-958,20714,-5,-1083,20589,21005,21672,39514456677,1907628,1445,1398/9/5,3,37
22300,20880,0.89,191,21672,-1.08,-231,21250,21400,21481,32565480381,1502653,1126,1398/9/4,2,37
21538,20540,4.72,968,21481,5,1025,21538,20540,20513,80794056537,3761217,1126,1398/9/3,1,37
20520,20001,4.96,970,20513,5,977,20520,20001,19543,41973747493,2046181,565,1398/9/2,0,37
19900,19451,-0.05,-10,19543,-0.33,-65,19488,19850,19553,13906688237,711601,495,1398/8/29,4,36
20099,19073,-0.04,-8,19553,-0.02,-3,19558,19466,19561,17176402031,878454,593,1398/8/28,3,36
20300,19447,-4.44,-909,19561,-5,-1023,19447,19447,20470,19782166835,1011314,671,1398/8/27,2,36
20470,20470,-5,-1077,20470,-5,-1077,20470,20470,21547,1412675640,69012,71,1398/8/26,1,36
22640,21010,-2.2,-485,21547,-4.23,-932,21100,22640,22032,8511439714,395016,537,1398/8/25,0,36
22498,21547,-1.01,-224,22032,-2.04,-454,21802,22256,22256,17772100950,806646,669,1398/8/22,4,35
23000,21670,-1.68,-380,22256,-3.25,-736,21900,22699,22636,31499921151,1415329,1014,1398/8/21,3,35
23400,21510,1.46,325,22636,1.49,333,22644,22998,22311,43701134099,1930636,1514,1398/8/20,2,35
22320,21836,4.95,1053,22311,5,1062,22320,22320,21258,120908693518,5419338,1484,1398/8/19,1,35
21258,21258,5,1012,21258,5,1012,21258,21258,20246,8802023706,414057,153,1398/8/18,0,35
20540,19000,8.66,1614,20246,10.24,1908,20540,19562,18632,49766396416,2458030,989,1398/8/14,3,34
19300,18607,-4.87,-954,18632,-5,-979,18607,18889,19586,14031737386,753082,588,1398/8/13,2,34
19999,18980,-1.43,-284,19586,-2.87,-570,19300,19999,19870,6709846233,342577,399,1398/8/12,1,34
20494,19111,1.8,351,19870,0.73,142,19661,20494,19519,8603105185,432978,491,1398/8/11,0,34
19520,19007,4.99,928,19519,5,929,19520,19520,18591,14720158150,754149,374,1398/8/8,4,33
18645,17795,4.69,833,18591,4.99,887,18645,17795,17758,4555761074,245048,163,1398/8/6,2,33
18500,17200,-0.57,-102,17758,1.9,339,18199,18369,17860,8593688068,483934,363,1398/8/4,0,33
18940,17833,-4.85,-911,17860,-4.63,-869,17902,18700,18771,20959193741,1173558,614,1398/8/1,4,32
20137,18221,-2.13,-408,18771,-4.06,-779,18400,19999,19179,22582534451,1203060,710,1398/7/30,3,32
19996,18865,-3.41,-678,19179,0.16,32,19889,18865,19857,26374698467,1375187,576,1398/7/29,2,32
19857,19857,-5,-1045,19857,-5,-1045,19857,19857,20902,840010671,42303,58,1398/7/28,1,32
21212,20897,-4.97,-1094,20902,-5,-1099,20897,20897,21996,13062117826,624911,312,1398/7/24,4,31
23279,21810,-4.19,-961,21996,-5,-1147,21810,23279,22957,2244363879,102034,163,1398/7/23,3,31
24000,22945,-4.95,-1195,22957,-5,-1207,22945,24000,24152,15615060510,680185,402,1398/7/22,2,31
25686,23923,-4.09,-1030,24152,-5,-1259,23923,25686,25182,20436973004,846192,604,1398/7/21,1,31
25588,24550,2.91,712,25182,1.55,380,24850,25000,24470,5717621453,227055,282,1398/7/20,0,31
25333,23002,1.2,290,24470,1.18,285,24465,24400,24180,19858611607,811534,550,1398/7/17,4,30
25777,23506,-2.28,-563,24180,-3,-743,24000,24999,24743,45782227382,1893405,948,1398/7/16,3,30
25589,24100,-1.03,-258,24743,-2.68,-670,24331,25589,25001,17873433228,722363,564,1398/7/15,2,30
26777,25252,0.77,200,26248,-1.45,-378,25670,26777,26048,39322377440,1498127,868,1398/7/13,0,30
26589,25478,-2.87,-770,26048,-1.48,-398,26420,25720,26818,33255499781,1276718,859,1398/7/10,4,29
27180,25594,3.59,930,26818,-0.73,-188,25700,27180,25888,80915309053,3017227,1648,1398/7/9,3,29
25968,24950,4.67,1156,25888,5,1236,25968,24950,24732,264450498576,10215342,1256,1398/7/8,2,29
25290,24200,-1.25,-313,24732,-2.85,-715,24330,25199,25045,31600860761,1277710,791,1398/7/7,1,29
25700,24510,0.97,240,25045,-0.02,-5,24800,25000,24805,29028255723,1159062,1039,1398/7/6,0,29
25996,24602,-2.52,-640,24805,-3.3,-840,24605,25996,25445,18356013712,740005,831,1398/7/3,4,28
26800,24701,-1.03,-265,25445,-1.25,-322,25388,26050,25710,27161889182,1067457,862,1398/7/2,3,28
25804,24704,4.61,1134,25710,5,1228,25804,25600,24576,74831073251,2910620,869,1398/7/1,2,28
25270,24300,-0.11,-27,24576,-1.15,-283,24320,25270,24603,30095829921,1224605,822,1398/6/31,1,28
25362,23550,0.35,87,24603,1.87,458,24974,23550,24516,26178502876,1064040,669,1398/6/30,0,28
25680,24432,-4.67,-1201,24516,-4.15,-1066,24651,25680,25717,30360812838,1238424,773,1398/6/27,4,27
26224,25680,-4.86,-1314,25717,-5,-1351,25680,25680,27031,56682439642,2204100,1301,1398/6/26,3,27
28400,25903,-0.46,-125,27031,-4.42,-1201,25955,28400,27156,52820388079,1954070,1380,1398/6/25,2,27
27505,26201,3.66,960,27156,5,1309,27505,27289,26196,49149669646,1809898,1199,1398/6/24,1,27
27398,24977,0.32,84,26196,4.5,1175,27287,26000,26112,68021407016,2596647,1538,1398/6/23,0,27
26985,25402,0.27,71,26112,-0.16,-41,26000,26195,26041,47345384278,1813190,948,1398/6/20,4,26
26197,25145,4.37,1090,26041,4.69,1169,26120,26197,24951,67606036165,2596173,1653,1398/6/17,1,26
24956,24001,4.98,1183,24951,5,1188,24956,24956,23768,57451576155,2302539,668,1398/6/16,0,26
24223,23000,3.03,698,23768,4.99,1151,24221,23900,23070,54826006648,2306710,681,1398/6/13,4,25
23868,22679,-3.36,-802,23070,-1.57,-374,23498,22684,23872,28789021784,1247876,750,1398/6/12,3,25
24350,23644,-4.08,-1016,23872,-5,-1244,23644,24241,24888,13557127064,567909,424,1398/6/11,2,25
25499,24143,-2.06,-524,24888,-2.8,-712,24700,24751,25412,25422705601,1021473,651,1398/6/10,1,25
27180,24750,-2.46,-640,25412,-2.51,-653,25399,27180,26052,75319005812,2963901,1380,1398/6/9,0,25
26229,23900,6.77,1652,26052,7.5,1829,26229,24980,24400,161971645610,6217339,1035,1398/6/6,4,24
24400,24400,4.71,1098,24400,4.71,1098,24400,24400,23302,709966800,29097,19,1398/6/3,1,24
23667,21600,3.38,762,23302,4.7,1060,23600,22798,22540,56080951618,2406679,726,1398/6/2,0,24
22621,21975,4.62,996,22540,5,1077,22621,22621,21544,135258081381,6000684,1260,1398/5/30,4,23
21544,21544,5,1025,21544,5,1025,21544,21544,20519,23875599400,1108225,96,1398/5/28,2,23
21233,19831,1.47,297,20519,5,1011,21233,20485,20222,46116269577,2247441,729,1398/5/27,1,23
20765,19415,0.33,66,20222,1.46,294,20450,20765,20156,45121800607,2231285,675,1398/5/26,0,23
20690,19222,0.62,125,20156,1.28,257,20288,20000,20031,54268416506,2692459,1123,1398/5/23,4,22
20034,19480,4.98,951,20031,5,954,20034,20034,19080,87729979286,4379779,426,1398/5/22,3,22
19080,19080,5,908,19080,5,908,19080,19080,18172,3862459800,202435,53,1398/5/20,1,22
18172,18172,5,865,18172,5,865,18172,18172,17307,17141883836,943313,135,1398/5/19,0,22
17310,16800,4.98,821,17307,5,824,17310,17310,16486,18299019347,1057342,169,1398/5/16,4,21
16758,16200,3.3,526,16486,5,798,16758,16758,15960,74664601640,4528997,624,1398/5/15,3,21
16156,15250,3.72,573,15960,5,769,16156,15250,15387,55406802466,3471675,405,1398/5/14,2,21
16049,15181,-3.54,-565,15387,-4.52,-721,15231,15701,15952,16900963799,1098413,446,1398/5/13,1,21
16238,15659,-0.36,-58,15952,0.24,39,16049,15659,16010,9849363958,617455,259,1398/5/12,0,21
16150,15522,-1.75,-285,16010,-0.89,-145,16150,16010,16295,12769991782,797618,322,1398/5/9,4,20
16004,15511,4.93,752,15994,5,762,16004,15798,15242,83551953791,5223825,961,1398/5/7,2,20
15450,14512,3.58,527,15242,4.99,735,15450,14715,14715,32215847256,2113684,520,1398/5/6,1,20
15123,14200,0.8,117,14715,-0.26,-38,14560,14830,14598,4727071058,321245,263,1398/5/5,0,20
14613,14400,4.89,680,14598,4.9,682,14600,14599,13918,30835835476,2112341,491,1398/5/2,4,19
13951,13000,4.75,631,13918,5,664,13951,13000,13287,2400717306,172486,78,1398/5/1,3,19
16000,15025,0.15,23,15437,-0.08,-12,15402,15025,15414,5283619749,342267,273,1398/4/26,4,18
15800,15400,-4.91,-796,15414,-5,-810,15400,15601,16210,7868604759,510474,216,1398/4/25,3,18
16549,15779,2.8,441,16210,2.11,332,16101,16263,15769,14349301338,885224,362,1398/4/24,2,18
16036,15100,3.25,496,15769,5,763,16036,15330,15273,12480463443,791455,494,1398/4/23,1,18
15628,15020,-0.25,-39,15273,0.49,75,15387,15450,15312,4727321498,309514,328,1398/4/22,0,18
15799,15050,-2.46,-386,15312,-1.68,-263,15435,15799,15698,8053488240,525953,319,1398/4/19,4,17
15800,15593,-0.67,-106,15698,-0.03,-4,15800,15666,15804,3902913798,248623,168,1398/4/18,3,17
15984,15700,-0.06,-9,15804,-0.48,-76,15737,15984,15813,6955681887,440118,241,1398/4/17,2,17
15980,15400,0.11,18,15813,0.03,5,15800,15400,15795,2318593975,146629,150,1398/4/16,1,17
16050,15500,-0.06,-9,15795,-1.91,-302,15502,15850,15804,9954785873,630236,262,1398/4/15,0,17
16250,15154,-0.92,-147,15804,-0.94,-150,15801,16250,15951,8038967867,508676,321,1398/4/12,4,16
16199,15710,1.01,159,15951,2.15,339,16131,15800,15792,5346807338,335198,217,1398/4/11,3,16
15940,15650,0.91,142,15792,0.95,148,15798,15940,15650,1984823547,125687,129,1398/4/10,2,16
15980,15360,1.03,159,15650,1.03,159,15650,15888,15491,13624575028,870586,434,1398/4/9,1,16
16300,15330,-3.96,-639,15491,-4.89,-789,15341,15957,16130,11190102985,722349,442,1398/4/5,4,15
16700,16000,-2.4,-396,16130,-2.52,-416,16110,16100,16526,3907086195,242218,253,1398/4/4,3,15
16999,16003,-1.89,-319,16526,-2.05,-345,16500,16698,16845,5380956356,325599,268,1398/4/3,2,15
17655,16683,-4.07,-714,16845,-3.19,-560,16999,16683,17559,5762066602,342069,235,1398/4/2,1,15
17846,16611,2.35,404,17559,-1.94,-333,16822,17846,17155,13039259137,742603,216,1398/4/1,0,15
17466,16279,0.94,159,17155,2.77,470,17466,17350,16996,10383272994,605249,257,1398/3/29,4,14
17079,16700,4.49,730,16996,4.5,732,16998,16990,16266,18430952177,1084415,334,1398/3/28,3,14
16897,16164,-4.4,-748,16266,-4.48,-763,16251,16200,17014,18398470804,1131121,427,1398/3/27,2,14
17667,16911,-4.42,-787,17014,-5,-890,16911,17667,17801,10031179179,589579,345,1398/3/26,1,14
18200,16760,1.26,222,17801,-2.15,-378,17201,17399,17579,29355085430,1649094,547,1398/3/25,0,14
17579,17579,5,837,17579,5,837,17579,17579,16742,18304555646,1041274,99,1398/3/22,4,13
16742,16742,5,797,16742,5,797,16742,16742,15945,7390354092,441426,61,1398/3/21,3,13
15945,15945,5,759,15945,5,759,15945,15945,15186,3615576585,226753,61,1398/3/20,2,13
15277,14463,4.37,636,15186,5,727,15277,15149,14550,17624681359,1160589,277,1398/3/19,1,13
14890,14390,-1.26,-185,14550,-0.24,-35,14700,14390,14735,8179670002,562188,257,1398/3/18,0,13
15250,14550,-0.9,-134,14735,-1.3,-194,14675,14875,14869,3208437581,217750,209,1398/3/13,2,12
15550,14600,-1.26,-190,14869,-1.19,-179,14880,15003,15059,23670833762,1591975,421,1398/3/12,1,12
16000,14971,-4.44,-699,15059,-4.77,-752,15006,15478,15758,8170959860,542612,233,1398/3/11,0,12
15881,15011,4.19,633,15758,4.99,755,15880,15011,15125,21864656288,1387555,429,1398/3/8,4,11
15200,14400,4.48,648,15125,4.99,723,15200,14690,14477,23004628597,1520958,366,1398/3/7,3,11
14900,14299,0.62,89,14477,1.47,212,14600,14310,14388,9792662400,676449,345,1398/3/5,1,11
14917,14203,-3.55,-529,14388,-2.21,-329,14588,14900,14917,3493459739,242805,176,1398/3/4,0,11